"","cps19_ResponseId","ethnicity","own_residence","cps19_income_cat","cps19_education","cps19_bornin_canada","education","language","votechoice","age_bracket","province"
"57","R_24rayRZvHjXVLvw","Canadian",1,7,7,1,"College/Trades","English",2,"55-64","Alberta"
"58","R_T7QVs5y0MqZziHT","Chinese",1,4,9,2,"Bachelors","Neither",1,"25-34","Ontario"
"59","R_1QmtmjnzE2l5QjX","Canadian",1,5,5,1,"High school","French",2,"55-64","Quebec"
"60","R_1dafxXg5oKNuofQ","Irish",0,2,6,1,"College/Trades","English",1,"65-74","Ontario"
"61","R_1q57buTSmNsMIqL","German",1,6,9,1,"Bachelors","Neither",1,"55-64","Maintoba"
"62","R_3pr2hyNP9hyomgo","Canadian",1,3,9,2,"Bachelors","Neither",3,"65-74","Ontario"
"63","R_DBnspCtawnvRUNX","English",1,4,7,1,"College/Trades","English",2,"55-64","Newfoundland and Labrador"
"64","R_8vjQKdtPj5sdyRb","Canadian",1,5,7,1,"College/Trades","English",1,"65-74","Saskatchewan"
"65","R_6RIibXmR0wIAFHP","Canadian",0,2,7,1,"College/Trades","French",1,"75+","Quebec"
"66","R_1E4XU2dKFtuO4zV","Italian",1,3,9,1,"Bachelors","Neither",2,"55-64","Quebec"
"67","R_wNWQGBNlBr8ntYZ","English",1,6,9,1,"Bachelors","English",2,"55-64","Saskatchewan"
"68","R_2rj8rFymfb5SZAM","Canadian",0,2,5,1,"High school","French",1,"45-54","Quebec"
"69","R_2CPaDGPcWLcSkzV","Canadian",1,2,8,1,"Bachelors","English_and_French",2,"45-54","Ontario"
"70","R_3QJty7iaxQBABMZ","Indian",1,4,10,1,"Postgrad","English",2,"35-44","Ontario"
"71","R_6Gtguuf06DDQ8QV","Canadian",0,2,4,2,"No degree/ diploma","French",4,"25-34","Quebec"
"72","R_2OTgYli09bN6AmM","German",1,4,7,1,"College/Trades","English",5,"55-64","Prince Edward Island"
"73","R_1OAyGB8Ym0kT3lK","Canadian",1,5,9,1,"Bachelors","English",2,"65-74","Alberta"
"74","R_28BecXIsc25YU9X","English",1,5,10,1,"Postgrad","English_and_French",2,"55-64","Quebec"
"75","R_3njfkeEp00ONu0q","Irish",1,6,9,1,"Bachelors","English_and_French",2,"45-54","Ontario"
"76","R_1o5YzpTjbSI6l9g","Canadian",0,3,8,1,"Bachelors","English",1,"55-64","Ontario"
"77","R_RKRD4qmRNrhwtTH","Scottish",1,2,9,1,"Bachelors","English",2,"55-64","Alberta"
"78","R_1LzNk6mGtbNm9Jn","French",0,3,9,1,"Bachelors","French",2,"25-34","Quebec"
"79","R_3Mm2RbAft9fuGiv","Canadian",1,3,8,1,"Bachelors","English",2,"65-74","Ontario"
"80","R_1dNBFv9hzoeljP0","Canadian",1,4,4,1,"No degree/ diploma","English",2,"65-74","Ontario"
"81","R_DoZvDkhCCR0Tp7z","Canadian",1,4,7,1,"College/Trades","French",1,"45-54","Quebec"
"82","R_3MsZu9jac3bHoHy","German",1,3,5,1,"High school","English",2,"55-64","Ontario"
"83","R_1DG3YA5j2TVa8Bs","Chinese",1,5,11,1,"Postgrad","English",2,"45-54","Nova Scoita"
"84","R_1JLpKxElyp4zPHy","Canadian",1,3,9,1,"Bachelors","English",1,"45-54","Ontario"
"85","R_1K9HUfPNAiQVDJu","Canadian",1,2,5,1,"High school","French",5,"55-64","Quebec"
"86","R_VQivgI4nwrZlkUV","Canadian",1,3,4,1,"No degree/ diploma","English",5,"55-64","Ontario"
"87","R_2dxVBPOOmvGTCXE","Canadian",1,4,10,1,"Postgrad","French",4,"45-54","Quebec"
"88","R_1JOBEIwxAhEhPy0","Canadian",1,6,6,1,"College/Trades","English",2,"65-74","British Columbia"
"89","R_2OSF3bRhkHSJ45Y","Canadian",0,3,6,1,"College/Trades","English_and_French",1,"45-54","Quebec"
"90","R_3Mcxg0Cstf8a4rt","English",1,3,8,1,"Bachelors","English",1,"65-74","Nova Scoita"
"91","R_3ly9uWChqk0l9c0","Canadian",0,3,5,1,"High school","French",1,"65-74","Quebec"
"92","R_3e1RYdhSjOjxo2C","English",1,3,6,1,"College/Trades","English_and_French",5,"65-74","Ontario"
"93","R_bNk1XEjD6zfR4Xv","English",0,3,7,1,"College/Trades","English_and_French",3,"35-44","Ontario"
"94","R_3r19AGHawlMqbYJ","Canadian",0,3,9,2,"Bachelors","English_and_French",1,"25-34","New Brunswick"
"95","R_2QzwQeow8YGxpQq","Canadian",1,4,9,2,"Bachelors","Neither",2,"55-64","Alberta"
"96","R_2fJLGevWwxij9Jf","French",0,2,5,1,"High school","French",1,"65-74","Quebec"
"97","R_1mPfh1o45daCbxd","Canadian",1,4,10,2,"Postgrad","English",2,"35-44","Alberta"
"98","R_1DotsVzObkBRvfo","English",0,3,7,1,"College/Trades","English",5,"45-54","Ontario"
"99","R_25TREM3VP3vuZ1k","Chinese",1,6,9,2,"Bachelors","Neither",2,"35-44","Ontario"
"100","R_2mJadSWBJNUNWAF","Canadian",0,3,8,1,"Bachelors","English",1,"55-64","Alberta"
"101","R_2Y3A0Z8e1KdTkOy","German",1,5,5,1,"High school","English",2,"55-64","Maintoba"
"102","R_1FmrUs1uP7UC4v1","Canadian",0,2,7,1,"College/Trades","French",2,"55-64","Quebec"
"103","R_1Fezuk9e7E5mv60","English",1,7,9,2,"Bachelors","English",2,"65-74","Ontario"
"104","R_3r0NEMt1q9yB2oj","Canadian",1,4,9,1,"Bachelors","English",2,"45-54","Ontario"
