"","Riding","Sex","Ethnic Origins","n","freq"
"1386","Etobicoke North","Male","German",1150,0.0319710870169586
"1387","Etobicoke North","Male","Chinese",760,0.0211287183764248
"1388","Etobicoke North","Male","Italian",3955,0.109952738393105
"1389","Etobicoke North","Male","First_Nations",240,0.00667222685571309
"1390","Etobicoke North","Male","South_Asian",17395,0.483597442313039
"1391","Flamborough--Glanbrook","Male","Canadian",14465,0.210231814548361
"1392","Flamborough--Glanbrook","Male","English",14640,0.212775234357968
"1393","Flamborough--Glanbrook","Male","Scottish",10610,0.154203909599593
"1394","Flamborough--Glanbrook","Male","French",4280,0.0622047816292421
"1395","Flamborough--Glanbrook","Male","Irish",8995,0.130731778213793
"1396","Flamborough--Glanbrook","Male","German",5690,0.0826974783809316
"1397","Flamborough--Glanbrook","Male","Chinese",440,0.00639488409272582
"1398","Flamborough--Glanbrook","Male","Italian",6685,0.0971586367269821
"1399","Flamborough--Glanbrook","Male","First_Nations",925,0.0134437904222077
"1400","Flamborough--Glanbrook","Male","South_Asian",2075,0.0301576920281956
"1401","Glengarry--Prescott--Russell","Male","Canadian",32935,0.415059861373661
"1402","Glengarry--Prescott--Russell","Male","English",7270,0.0916194076874606
"1403","Glengarry--Prescott--Russell","Male","Scottish",6855,0.0863894139886578
"1404","Glengarry--Prescott--Russell","Male","French",18135,0.228544423440454
"1405","Glengarry--Prescott--Russell","Male","Irish",7590,0.0956521739130435
"1406","Glengarry--Prescott--Russell","Male","German",2700,0.0340264650283554
"1407","Glengarry--Prescott--Russell","Male","Chinese",100,0.00126023944549464
"1408","Glengarry--Prescott--Russell","Male","Italian",1240,0.0156269691241336
"1409","Glengarry--Prescott--Russell","Male","First_Nations",2265,0.0285444234404537
"1410","Glengarry--Prescott--Russell","Male","South_Asian",260,0.00327662255828607
"1411","Guelph","Male","Canadian",16605,0.186238223418573
"1412","Guelph","Male","English",18220,0.204351727231943
"1413","Guelph","Male","Scottish",14220,0.159488559892328
"1414","Guelph","Male","French",5590,0.0626962763571108
"1415","Guelph","Male","Irish",13210,0.148160610139076
"1416","Guelph","Male","German",8565,0.0960632570659489
"1417","Guelph","Male","Chinese",1955,0.0219268730372364
"1418","Guelph","Male","Italian",6230,0.0698743831314491
"1419","Guelph","Male","First_Nations",1240,0.0139075818752804
"1420","Guelph","Male","South_Asian",3325,0.0372925078510543
"1421","Haldimand--Norfolk","Male","Canadian",17790,0.241334870786136
"1422","Haldimand--Norfolk","Male","English",17185,0.233127585973004
"1423","Haldimand--Norfolk","Male","Scottish",11340,0.153835718646137
"1424","Haldimand--Norfolk","Male","French",4310,0.0584684256935495
"1425","Haldimand--Norfolk","Male","Irish",9320,0.126432883402293
"1426","Haldimand--Norfolk","Male","German",9805,0.13301227701282
"1427","Haldimand--Norfolk","Male","Chinese",110,0.00149223360238757
"1428","Haldimand--Norfolk","Male","Italian",1745,0.0236722512378756
"1429","Haldimand--Norfolk","Male","First_Nations",1920,0.026046259241674
"1430","Haldimand--Norfolk","Male","South_Asian",190,0.00257749440412399
"1431","Haliburton--Kawartha Lakes--Brock","Male","Canadian",21180,0.246479692773187
"1432","Haliburton--Kawartha Lakes--Brock","Male","English",22330,0.259862678924706
"1433","Haliburton--Kawartha Lakes--Brock","Male","Scottish",14330,0.166763644827185
"1434","Haliburton--Kawartha Lakes--Brock","Male","French",4840,0.0563249156290003
"1435","Haliburton--Kawartha Lakes--Brock","Male","Irish",14285,0.166239962760386
"1436","Haliburton--Kawartha Lakes--Brock","Male","German",5285,0.061503549400675
"1437","Haliburton--Kawartha Lakes--Brock","Male","Chinese",160,0.00186198068195042
"1438","Haliburton--Kawartha Lakes--Brock","Male","Italian",1685,0.0196089840567904
"1439","Haliburton--Kawartha Lakes--Brock","Male","First_Nations",1550,0.0180379378563947
"1440","Haliburton--Kawartha Lakes--Brock","Male","South_Asian",285,0.00331665308972419
"1441","Hamilton Centre","Male","Canadian",11830,0.196822227768073
"1442","Hamilton Centre","Male","English",11720,0.194992097163298
"1443","Hamilton Centre","Male","Scottish",9150,0.152233591215373
"1444","Hamilton Centre","Male","French",4870,0.081024873138674
"1445","Hamilton Centre","Male","Irish",9105,0.151484901422511
"1446","Hamilton Centre","Male","German",4720,0.078529240495799
"1447","Hamilton Centre","Male","Chinese",1135,0.0188836203310873
"1448","Hamilton Centre","Male","Italian",3855,0.0641377589218867
"1449","Hamilton Centre","Male","First_Nations",2415,0.040179685550287
"1450","Hamilton Centre","Male","South_Asian",1305,0.0217120039930122
"1451","Hamilton East--Stoney Creek","Male","Canadian",12710,0.216377255703098
"1452","Hamilton East--Stoney Creek","Male","English",10665,0.181562819203269
"1453","Hamilton East--Stoney Creek","Male","Scottish",7900,0.134490977187606
"1454","Hamilton East--Stoney Creek","Male","French",3785,0.0644364998297583
"1455","Hamilton East--Stoney Creek","Male","Irish",7135,0.121467483827034
"1456","Hamilton East--Stoney Creek","Male","German",3865,0.0657984337759619
"1457","Hamilton East--Stoney Creek","Male","Chinese",325,0.00553285665645216
"1458","Hamilton East--Stoney Creek","Male","Italian",7680,0.130745658835546
"1459","Hamilton East--Stoney Creek","Male","First_Nations",1355,0.0230677562138236
"1460","Hamilton East--Stoney Creek","Male","South_Asian",3320,0.0565202587674498
"1461","Hamilton Mountain","Male","Canadian",11745,0.198714152778953
"1462","Hamilton Mountain","Male","English",11935,0.201928770831571
"1463","Hamilton Mountain","Male","Scottish",9180,0.155316809068607
"1464","Hamilton Mountain","Male","French",3980,0.0673377886811607
"1465","Hamilton Mountain","Male","Irish",7395,0.125116318416378
"1466","Hamilton Mountain","Male","German",4470,0.0756281194484392
"1467","Hamilton Mountain","Male","Chinese",800,0.0135352339057609
"1468","Hamilton Mountain","Male","Italian",6575,0.111242703662973
"1469","Hamilton Mountain","Male","First_Nations",1320,0.0223331359445055
"1470","Hamilton Mountain","Male","South_Asian",1705,0.028846967261653
"1471","Hamilton West--Ancaster--Dundas","Male","Canadian",11145,0.167909604519774
"1472","Hamilton West--Ancaster--Dundas","Male","English",13960,0.210320150659134
"1473","Hamilton West--Ancaster--Dundas","Male","Scottish",10435,0.157212806026365
"1474","Hamilton West--Ancaster--Dundas","Male","French",3880,0.0584557438794727
"1475","Hamilton West--Ancaster--Dundas","Male","Irish",9075,0.136723163841808
"1476","Hamilton West--Ancaster--Dundas","Male","German",5550,0.0836158192090395
"1477","Hamilton West--Ancaster--Dundas","Male","Chinese",2185,0.0329190207156309
"1478","Hamilton West--Ancaster--Dundas","Male","Italian",6600,0.0994350282485876
"1479","Hamilton West--Ancaster--Dundas","Male","First_Nations",895,0.0134839924670433
"1480","Hamilton West--Ancaster--Dundas","Male","South_Asian",2650,0.039924670433145
"1481","Hastings--Lennox and Addington","Male","Canadian",19305,0.270113334266126
"1482","Hastings--Lennox and Addington","Male","English",14705,0.205750664614524
"1483","Hastings--Lennox and Addington","Male","Scottish",10225,0.143067021127746
"1484","Hastings--Lennox and Addington","Male","French",5110,0.0714985308521058
"1485","Hastings--Lennox and Addington","Male","Irish",12230,0.17112074996502
"1486","Hastings--Lennox and Addington","Male","German",5390,0.0754162585700294
"1487","Hastings--Lennox and Addington","Male","Chinese",85,0.00118931020008395
"1488","Hastings--Lennox and Addington","Male","Italian",925,0.0129424933538548
"1489","Hastings--Lennox and Addington","Male","First_Nations",3195,0.0447040716384497
"1490","Hastings--Lennox and Addington","Male","South_Asian",300,0.004197565412061
"1491","Huron--Bruce","Male","Canadian",17140,0.209663608562691
"1492","Huron--Bruce","Male","English",16725,0.204587155963303
"1493","Huron--Bruce","Male","Scottish",15015,0.183669724770642
"1494","Huron--Bruce","Male","French",4195,0.0513149847094801
"1495","Huron--Bruce","Male","Irish",13100,0.160244648318043
"1496","Huron--Bruce","Male","German",13240,0.161957186544343
"1497","Huron--Bruce","Male","Chinese",105,0.00128440366972477
"1498","Huron--Bruce","Male","Italian",925,0.0113149847094801
"1499","Huron--Bruce","Male","First_Nations",920,0.0112538226299694
"1500","Huron--Bruce","Male","South_Asian",385,0.00470948012232416
"1501","Kanata--Carleton","Male","Canadian",15545,0.197836461979001
"1502","Kanata--Carleton","Male","English",13175,0.167674196627426
"1503","Kanata--Carleton","Male","Scottish",11550,0.146993318485523
"1504","Kanata--Carleton","Male","French",9320,0.118612790327712
"1505","Kanata--Carleton","Male","Irish",13425,0.170855870187719
"1506","Kanata--Carleton","Male","German",5110,0.0650334075723831
"1507","Kanata--Carleton","Male","Chinese",3910,0.049761374482978
"1508","Kanata--Carleton","Male","Italian",2355,0.0299713649379574
"1509","Kanata--Carleton","Male","First_Nations",1545,0.019662742602609
"1510","Kanata--Carleton","Male","South_Asian",2640,0.0335984727966911
"1511","Kenora","Male","Canadian",6085,0.143734498641786
"1512","Kenora","Male","English",6010,0.141962914845872
"1513","Kenora","Male","Scottish",4975,0.117515058462265
"1514","Kenora","Male","French",4190,0.0989724813983701
"1515","Kenora","Male","Irish",3925,0.0927128853194756
"1516","Kenora","Male","German",3445,0.0813747490256289
"1517","Kenora","Male","Chinese",55,0.0012991614503366
"1518","Kenora","Male","Italian",905,0.0213771111373568
"1519","Kenora","Male","First_Nations",12685,0.299633872682178
"1520","Kenora","Male","South_Asian",60,0.00141726703673084
"1521","King--Vaughan","Male","Canadian",6150,0.119209149059895
"1522","King--Vaughan","Male","English",4130,0.0800542740841248
"1523","King--Vaughan","Male","Scottish",2600,0.0503973638301997
"1524","King--Vaughan","Male","French",1280,0.0248110098856367
"1525","King--Vaughan","Male","Irish",2780,0.0538864120953673
"1526","King--Vaughan","Male","German",1780,0.0345028106222136
"1527","King--Vaughan","Male","Chinese",4160,0.0806357821283194
"1528","King--Vaughan","Male","Italian",20410,0.395619306067067
"1529","King--Vaughan","Male","First_Nations",295,0.00571816243458035
"1530","King--Vaughan","Male","South_Asian",8005,0.155165729792595
"1531","Kingston and the Islands","Male","Canadian",19175,0.228382563125298
"1532","Kingston and the Islands","Male","English",16870,0.200929013816103
"1533","Kingston and the Islands","Male","Scottish",13130,0.156383992377323
"1534","Kingston and the Islands","Male","French",7850,0.0934969032872797
"1535","Kingston and the Islands","Male","Irish",14425,0.171808003811339
"1536","Kingston and the Islands","Male","German",5625,0.0669961886612673
"1537","Kingston and the Islands","Male","Chinese",1210,0.0144116245831348
"1538","Kingston and the Islands","Male","Italian",2105,0.0250714626012387
"1539","Kingston and the Islands","Male","First_Nations",2310,0.0275131014768938
"1540","Kingston and the Islands","Male","South_Asian",1260,0.0150071462601239
"1541","Kitchener Centre","Male","Canadian",12330,0.19222074986359
"1542","Kitchener Centre","Male","English",11450,0.178501831787357
"1543","Kitchener Centre","Male","Scottish",8765,0.136643541975212
"1544","Kitchener Centre","Male","French",4795,0.0747525138358407
"1545","Kitchener Centre","Male","Irish",8865,0.138202509938421
"1546","Kitchener Centre","Male","German",12645,0.197131498947697
"1547","Kitchener Centre","Male","Chinese",740,0.0115363629277418
"1548","Kitchener Centre","Male","Italian",1805,0.0281393717359108
"1549","Kitchener Centre","Male","First_Nations",1240,0.0193312027437836
"1550","Kitchener Centre","Male","South_Asian",1510,0.0235404162444462
"1551","Kitchener--Conestoga","Male","Canadian",13580,0.221841052029731
"1552","Kitchener--Conestoga","Male","English",9595,0.156742628440742
"1553","Kitchener--Conestoga","Male","Scottish",7550,0.123335783713142
"1554","Kitchener--Conestoga","Male","French",3900,0.0637098750306297
"1555","Kitchener--Conestoga","Male","Irish",6965,0.113779302458548
"1556","Kitchener--Conestoga","Male","German",14600,0.23850363473005
"1557","Kitchener--Conestoga","Male","Chinese",735,0.0120068610634648
"1558","Kitchener--Conestoga","Male","Italian",1350,0.0220534182798334
"1559","Kitchener--Conestoga","Male","First_Nations",750,0.0122518990443519
"1560","Kitchener--Conestoga","Male","South_Asian",2190,0.0357755452095075
"1561","Kitchener South--Hespeler","Male","Canadian",13770,0.215358148263997
"1562","Kitchener South--Hespeler","Male","English",11490,0.179699718486081
"1563","Kitchener South--Hespeler","Male","Scottish",8555,0.133797309978104
"1564","Kitchener South--Hespeler","Male","French",4615,0.0721770409759149
"1565","Kitchener South--Hespeler","Male","Irish",7940,0.124178917735377
"1566","Kitchener South--Hespeler","Male","German",10040,0.1570222083203
"1567","Kitchener South--Hespeler","Male","Chinese",1055,0.0164998436033782
"1568","Kitchener South--Hespeler","Male","Italian",2010,0.0314357209884267
"1569","Kitchener South--Hespeler","Male","First_Nations",1235,0.0193149827963716
"1570","Kitchener South--Hespeler","Male","South_Asian",3230,0.0505161088520488
"1571","Lambton--Kent--Middlesex","Male","Canadian",17280,0.238196981184093
"1572","Lambton--Kent--Middlesex","Male","English",15855,0.218554000964918
"1573","Lambton--Kent--Middlesex","Male","Scottish",12660,0.174512371631401
"1574","Lambton--Kent--Middlesex","Male","French",5945,0.081949135019643
"1575","Lambton--Kent--Middlesex","Male","Irish",10335,0.142463298642222
"1576","Lambton--Kent--Middlesex","Male","German",6475,0.0892549452064236
"1577","Lambton--Kent--Middlesex","Male","Chinese",95,0.00130953201461162
"1578","Lambton--Kent--Middlesex","Male","Italian",1285,0.0177131435660624
"1579","Lambton--Kent--Middlesex","Male","First_Nations",2505,0.0345302915431801
"1580","Lambton--Kent--Middlesex","Male","South_Asian",110,0.00151630022744503
"1581","Lanark--Frontenac--Kingston","Male","Canadian",19820,0.231839981284361
"1582","Lanark--Frontenac--Kingston","Male","English",16355,0.19130892502047
"1583","Lanark--Frontenac--Kingston","Male","Scottish",15570,0.182126564510469
"1584","Lanark--Frontenac--Kingston","Male","French",8080,0.0945139782430694
"1585","Lanark--Frontenac--Kingston","Male","Irish",16455,0.192478652473974
"1586","Lanark--Frontenac--Kingston","Male","German",5425,0.0634577143525559
"1587","Lanark--Frontenac--Kingston","Male","Chinese",135,0.0015791320622295
"1588","Lanark--Frontenac--Kingston","Male","Italian",1185,0.0138612703240145
"1589","Lanark--Frontenac--Kingston","Male","First_Nations",2340,0.027371622411978
"1590","Lanark--Frontenac--Kingston","Male","South_Asian",125,0.00146215931687917
"1591","Leeds-Grenville-Thousand Islands and Rideau Lakes","Male","Canadian",19870,0.250820499873769
"1592","Leeds-Grenville-Thousand Islands and Rideau Lakes","Male","English",16225,0.204809391567786
"1593","Leeds-Grenville-Thousand Islands and Rideau Lakes","Male","Scottish",12885,0.162648321131028
"1594","Leeds-Grenville-Thousand Islands and Rideau Lakes","Male","French",7250,0.0915172936127241
"1595","Leeds-Grenville-Thousand Islands and Rideau Lakes","Male","Irish",14595,0.184233779348649
"1596","Leeds-Grenville-Thousand Islands and Rideau Lakes","Male","German",4810,0.0607169906589245
"1597","Leeds-Grenville-Thousand Islands and Rideau Lakes","Male","Chinese",200,0.00252461499621308
"1598","Leeds-Grenville-Thousand Islands and Rideau Lakes","Male","Italian",1160,0.0146427669780358
"1599","Leeds-Grenville-Thousand Islands and Rideau Lakes","Male","First_Nations",1965,0.0248043423377935
"1600","Leeds-Grenville-Thousand Islands and Rideau Lakes","Male","South_Asian",260,0.003281999495077
"1601","London--Fanshawe","Male","Canadian",16710,0.236819727891156
"1602","London--Fanshawe","Male","English",14920,0.211451247165533
"1603","London--Fanshawe","Male","Scottish",11130,0.157738095238095
"1604","London--Fanshawe","Male","French",5340,0.0756802721088435
"1605","London--Fanshawe","Male","Irish",9980,0.141439909297052
"1606","London--Fanshawe","Male","German",6080,0.0861678004535147
"1607","London--Fanshawe","Male","Chinese",450,0.00637755102040816
"1608","London--Fanshawe","Male","Italian",2665,0.0377692743764172
"1609","London--Fanshawe","Male","First_Nations",2160,0.0306122448979592
"1610","London--Fanshawe","Male","South_Asian",1125,0.0159438775510204
"1611","London North Centre","Male","Canadian",14150,0.186983812355467
"1612","London North Centre","Male","English",15955,0.210835811034027
"1613","London North Centre","Male","Scottish",11620,0.153551370994384
"1614","London North Centre","Male","French",5530,0.0730756524611827
"1615","London North Centre","Male","Irish",11115,0.146878097125867
"1616","London North Centre","Male","German",6845,0.0904525933267261
"1617","London North Centre","Male","Chinese",2960,0.0391146349520978
"1618","London North Centre","Male","Italian",2895,0.0382556987115956
"1619","London North Centre","Male","First_Nations",1575,0.020812685827552
"1620","London North Centre","Male","South_Asian",3030,0.0400396432111001
"1621","London West","Male","Canadian",14625,0.184089621750897
"1622","London West","Male","English",18220,0.229341053559066
"1623","London West","Male","Scottish",13595,0.171124677449808
"1624","London West","Male","French",5305,0.0667757568128894
"1625","London West","Male","Irish",12580,0.158348543017182
"1626","London West","Male","German",7400,0.0931462017748128
"1627","London West","Male","Chinese",1395,0.0175593177670086
"1628","London West","Male","Italian",3395,0.0427339668953364
"1629","London West","Male","First_Nations",1340,0.0168670149159796
"1630","London West","Male","South_Asian",1590,0.0200138460570206
"1631","Markham--Stouffville","Male","Canadian",8305,0.12648492232714
"1632","Markham--Stouffville","Male","English",9155,0.139430399025282
"1633","Markham--Stouffville","Male","Scottish",6545,0.099680170575693
"1634","Markham--Stouffville","Male","French",2365,0.0360188851660067
"1635","Markham--Stouffville","Male","Irish",6075,0.0925220834602498
"1636","Markham--Stouffville","Male","German",2935,0.0446999695400548
"1637","Markham--Stouffville","Male","Chinese",13485,0.205376180322875
"1638","Markham--Stouffville","Male","Italian",5175,0.0788151081328054
"1639","Markham--Stouffville","Male","First_Nations",380,0.00578738958269875
"1640","Markham--Stouffville","Male","South_Asian",11240,0.171184891867195
"1641","Markham--Thornhill","Male","Canadian",2545,0.0604441277757986
"1642","Markham--Thornhill","Male","English",1410,0.0334877092981831
"1643","Markham--Thornhill","Male","Scottish",990,0.0235126469540435
"1644","Markham--Thornhill","Male","French",350,0.00831255195344971
"1645","Markham--Thornhill","Male","Irish",925,0.0219688873055457
"1646","Markham--Thornhill","Male","German",570,0.0135375846099038
"1647","Markham--Thornhill","Male","Chinese",19925,0.473221707635673
"1648","Markham--Thornhill","Male","Italian",1090,0.0258876617978862
"1649","Markham--Thornhill","Male","First_Nations",80,0.00190001187507422
"1650","Markham--Thornhill","Male","South_Asian",14220,0.337727110794442
"1651","Markham--Unionville","Male","Canadian",3080,0.0536071708293447
"1652","Markham--Unionville","Male","English",2740,0.0476894961274041
"1653","Markham--Unionville","Male","Scottish",1810,0.031502915325037
"1654","Markham--Unionville","Male","French",830,0.0144460882429728
"1655","Markham--Unionville","Male","Irish",1875,0.0326342354886433
"1656","Markham--Unionville","Male","German",1055,0.01836219650161
"1657","Markham--Unionville","Male","Chinese",38195,0.664781133060656
"1658","Markham--Unionville","Male","Italian",1795,0.0312418414411278
"1659","Markham--Unionville","Male","First_Nations",110,0.00191454181533374
"1660","Markham--Unionville","Male","South_Asian",5965,0.103820381167871
"1661","Milton","Male","Canadian",10480,0.175794682546339
"1662","Milton","Male","English",9750,0.163549442254466
"1663","Milton","Male","Scottish",7885,0.132265369453996
"1664","Milton","Male","French",3055,0.0512454919063994
"1665","Milton","Male","Irish",7015,0.117671726914367
"1666","Milton","Male","German",3720,0.0624004025832425
"1667","Milton","Male","Chinese",1185,0.0198775475970813
"1668","Milton","Male","Italian",4495,0.0754004864547513
"1669","Milton","Male","First_Nations",550,0.00922586597332886
"1670","Milton","Male","South_Asian",11480,0.192568984316028
"1671","Mississauga Centre","Male","Canadian",3935,0.098832098455356
"1672","Mississauga Centre","Male","English",2815,0.0707019967348989
"1673","Mississauga Centre","Male","Scottish",1975,0.0496044204445561
"1674","Mississauga Centre","Male","French",1105,0.027753359286701
"1675","Mississauga Centre","Male","Irish",1870,0.0469672234082632
"1676","Mississauga Centre","Male","German",1220,0.0306417179454979
"1677","Mississauga Centre","Male","Chinese",7205,0.180961949014191
"1678","Mississauga Centre","Male","Italian",2860,0.0718322240361673
"1679","Mississauga Centre","Male","First_Nations",155,0.00389300514881326
"1680","Mississauga Centre","Male","South_Asian",16675,0.418812005525556
"1681","Mississauga East--Cooksville","Male","Canadian",5205,0.14726269627953
"1682","Mississauga East--Cooksville","Male","English",4005,0.113311642382232
"1683","Mississauga East--Cooksville","Male","Scottish",2735,0.0773801103409252
"1684","Mississauga East--Cooksville","Male","French",1520,0.0430046682699109
"1685","Mississauga East--Cooksville","Male","Irish",2955,0.0836044702220965
"1686","Mississauga East--Cooksville","Male","German",1845,0.0521997453670958
"1687","Mississauga East--Cooksville","Male","Chinese",2835,0.0802093648323667
"1688","Mississauga East--Cooksville","Male","Italian",4230,0.119677464987976
"1689","Mississauga East--Cooksville","Male","First_Nations",545,0.0154194369783562
"1690","Mississauga East--Cooksville","Male","South_Asian",9470,0.267930400339511
"1691","Mississauga--Erin Mills","Male","Canadian",5870,0.125
"1692","Mississauga--Erin Mills","Male","English",5170,0.110093696763203
"1693","Mississauga--Erin Mills","Male","Scottish",3560,0.075809199318569
"1694","Mississauga--Erin Mills","Male","French",1795,0.0382240204429302
"1695","Mississauga--Erin Mills","Male","Irish",3735,0.0795357751277683
"1696","Mississauga--Erin Mills","Male","German",1915,0.0407793867120954
"1697","Mississauga--Erin Mills","Male","Chinese",6500,0.138415672913118
"1698","Mississauga--Erin Mills","Male","Italian",3150,0.0670783645655877
"1699","Mississauga--Erin Mills","Male","First_Nations",355,0.00755962521294719
"1700","Mississauga--Erin Mills","Male","South_Asian",14910,0.317504258943782
"1701","Mississauga--Lakeshore","Male","Canadian",9965,0.172047651933702
"1702","Mississauga--Lakeshore","Male","English",11045,0.190694060773481
"1703","Mississauga--Lakeshore","Male","Scottish",8200,0.141574585635359
"1704","Mississauga--Lakeshore","Male","French",3405,0.0587879834254144
"1705","Mississauga--Lakeshore","Male","Irish",8040,0.138812154696133
"1706","Mississauga--Lakeshore","Male","German",3980,0.0687154696132597
"1707","Mississauga--Lakeshore","Male","Chinese",2245,0.0387603591160221
"1708","Mississauga--Lakeshore","Male","Italian",5395,0.0931457182320442
"1709","Mississauga--Lakeshore","Male","First_Nations",670,0.011567679558011
"1710","Mississauga--Lakeshore","Male","South_Asian",4975,0.0858943370165746
"1711","Mississauga--Malton","Male","Canadian",3820,0.0919595570534425
"1712","Mississauga--Malton","Male","English",2105,0.0506740491092922
"1713","Mississauga--Malton","Male","Scottish",1325,0.0318969667790082
"1714","Mississauga--Malton","Male","French",760,0.0182956186807896
"1715","Mississauga--Malton","Male","Irish",1360,0.0327395281656235
"1716","Mississauga--Malton","Male","German",780,0.0187770823302841
"1717","Mississauga--Malton","Male","Chinese",3450,0.0830524795377949
"1718","Mississauga--Malton","Male","Italian",2870,0.0690900337024555
"1719","Mississauga--Malton","Male","First_Nations",240,0.00577756379393356
"1720","Mississauga--Malton","Male","South_Asian",24830,0.597737120847376
"1721","Mississauga--Streetsville","Male","Canadian",7595,0.146451986116467
"1722","Mississauga--Streetsville","Male","English",7355,0.141824141920555
"1723","Mississauga--Streetsville","Male","Scottish",5390,0.103933667566525
"1724","Mississauga--Streetsville","Male","French",2595,0.0500385653682993
"1725","Mississauga--Streetsville","Male","Irish",5220,0.100655611261088
"1726","Mississauga--Streetsville","Male","German",2845,0.0548592364057077
"1727","Mississauga--Streetsville","Male","Chinese",3495,0.0673929811029695
"1728","Mississauga--Streetsville","Male","Italian",4125,0.0795410721172387
"1729","Mississauga--Streetsville","Male","First_Nations",530,0.0102198225993058
"1730","Mississauga--Streetsville","Male","South_Asian",12710,0.245082915541843
"1731","Nepean","Male","Canadian",14655,0.192803578476516
"1732","Nepean","Male","English",11825,0.155571635311143
"1733","Nepean","Male","Scottish",10480,0.137876595184844
"1734","Nepean","Male","French",9055,0.119129061965531
"1735","Nepean","Male","Irish",11940,0.157084594132351
"1736","Nepean","Male","German",4450,0.058544928298908
"1737","Nepean","Male","Chinese",3910,0.051440599921063
"1738","Nepean","Male","Italian",3535,0.0465070385475595
"1739","Nepean","Male","First_Nations",1545,0.0203262728588344
"1740","Nepean","Male","South_Asian",4615,0.0607156953032496
"1741","Newmarket--Aurora","Male","Canadian",12200,0.181561128060124
"1742","Newmarket--Aurora","Male","English",13560,0.201800729220924
"1743","Newmarket--Aurora","Male","Scottish",9750,0.145100081851328
"1744","Newmarket--Aurora","Male","French",3965,0.0590073666195401
"1745","Newmarket--Aurora","Male","Irish",9200,0.136914949028946
"1746","Newmarket--Aurora","Male","German",4345,0.0646625492968227
"1747","Newmarket--Aurora","Male","Chinese",4775,0.0710618349579582
"1748","Newmarket--Aurora","Male","Italian",6170,0.0918223082074559
"1749","Newmarket--Aurora","Male","First_Nations",860,0.012798571322271
"1750","Newmarket--Aurora","Male","South_Asian",2370,0.0352704814346306
"1751","Niagara Centre","Male","Canadian",17245,0.228850109481786
"1752","Niagara Centre","Male","English",13830,0.183531285249818
"1753","Niagara Centre","Male","Scottish",8980,0.119169265476743
"1754","Niagara Centre","Male","French",8955,0.118837502488222
"1755","Niagara Centre","Male","Irish",8575,0.113794705062703
"1756","Niagara Centre","Male","German",6965,0.0924291686019508
"1757","Niagara Centre","Male","Chinese",780,0.0103510052418552
"1758","Niagara Centre","Male","Italian",7415,0.0984009023953288
"1759","Niagara Centre","Male","First_Nations",1980,0.0262756286908632
"1760","Niagara Centre","Male","South_Asian",630,0.00836042731072922
"1761","Niagara Falls","Male","Canadian",17445,0.193671940049958
"1762","Niagara Falls","Male","English",17580,0.195170691090758
"1763","Niagara Falls","Male","Scottish",12035,0.13361087982237
"1764","Niagara Falls","Male","French",7500,0.0832639467110741
"1765","Niagara Falls","Male","Irish",11090,0.123119622536775
"1766","Niagara Falls","Male","German",9340,0.103691368304191
"1767","Niagara Falls","Male","Chinese",1035,0.0114904246461282
"1768","Niagara Falls","Male","Italian",10460,0.116125451013045
"1769","Niagara Falls","Male","First_Nations",2100,0.0233139050791007
"1770","Niagara Falls","Male","South_Asian",1490,0.0165417707466001
"1771","Niagara West","Male","Canadian",11765,0.204929454798816
"1772","Niagara West","Male","English",13115,0.228444521860303
"1773","Niagara West","Male","Scottish",9250,0.161121755791674
"1774","Niagara West","Male","French",3980,0.069325901410904
"1775","Niagara West","Male","Irish",7305,0.127242640654938
"1776","Niagara West","Male","German",6290,0.109562793938338
"1777","Niagara West","Male","Chinese",190,0.00330952795680195
"1778","Niagara West","Male","Italian",4160,0.072461243685769
"1779","Niagara West","Male","First_Nations",975,0.0169831039888521
"1780","Niagara West","Male","South_Asian",380,0.0066190559136039
"1781","Nickel Belt","Male","Canadian",24975,0.333533653846154
"1782","Nickel Belt","Male","English",8410,0.112313034188034
"1783","Nickel Belt","Male","Scottish",5960,0.0795940170940171
"1784","Nickel Belt","Male","French",18860,0.251869658119658
"1785","Nickel Belt","Male","Irish",7110,0.0949519230769231
"1786","Nickel Belt","Male","German",3510,0.046875
"1787","Nickel Belt","Male","Chinese",130,0.00173611111111111
"1788","Nickel Belt","Male","Italian",2340,0.03125
"1789","Nickel Belt","Male","First_Nations",3400,0.0454059829059829
"1790","Nickel Belt","Male","South_Asian",185,0.00247061965811966
"1791","Nipissing--Timiskaming","Male","Canadian",18635,0.256609749380336
"1792","Nipissing--Timiskaming","Male","English",12155,0.1673781327458
"1793","Nipissing--Timiskaming","Male","Scottish",8755,0.120559074635087
"1794","Nipissing--Timiskaming","Male","French",12535,0.172610851005233
"1795","Nipissing--Timiskaming","Male","Irish",9230,0.127099972459378
"1796","Nipissing--Timiskaming","Male","German",4780,0.0658220875791793
"1797","Nipissing--Timiskaming","Male","Chinese",205,0.00282291379785183
"1798","Nipissing--Timiskaming","Male","Italian",2215,0.0305012393280088
"1799","Nipissing--Timiskaming","Male","First_Nations",3850,0.0530156981547783
"1800","Nipissing--Timiskaming","Male","South_Asian",260,0.00358028091434866
"1801","Northumberland--Peterborough South","Male","Canadian",20475,0.244331742243437
"1802","Northumberland--Peterborough South","Male","English",20990,0.250477326968974
"1803","Northumberland--Peterborough South","Male","Scottish",14225,0.169749403341289
"1804","Northumberland--Peterborough South","Male","French",5605,0.0668854415274463
