"","Riding","Sex","Ethnic Origins","n","freq"
"91","Egmont","Male","Canadian",8380,0.329467269510517
"92","Egmont","Male","English",4310,0.169451543149204
"93","Egmont","Male","Scottish",4060,0.159622567328484
"94","Egmont","Male","French",3995,0.157067033615097
"95","Egmont","Male","Irish",3550,0.139571456654217
"96","Egmont","Male","German",515,0.0202476901906821
"97","Egmont","Male","Chinese",40,0.00157263613131512
"98","Egmont","Male","Italian",120,0.00471790839394535
"99","Egmont","Male","First_Nations",450,0.0176921564772951
"100","Egmont","Male","South_Asian",15,0.000589738549243169
"101","Malpeque","Male","Canadian",7400,0.256277056277056
"102","Malpeque","Male","English",5625,0.194805194805195
"103","Malpeque","Male","Scottish",6720,0.232727272727273
"104","Malpeque","Male","French",2990,0.103549783549784
"105","Malpeque","Male","Irish",4510,0.156190476190476
"106","Malpeque","Male","German",990,0.0342857142857143
"107","Malpeque","Male","Chinese",35,0.00121212121212121
"108","Malpeque","Male","Italian",130,0.0045021645021645
"109","Malpeque","Male","First_Nations",450,0.0155844155844156
"110","Malpeque","Male","South_Asian",25,0.000865800865800866
"111","Cape Breton--Canso","Male","Canadian",14435,0.26195445059432
"112","Cape Breton--Canso","Male","English",7465,0.135468650757644
"113","Cape Breton--Canso","Male","Scottish",13650,0.247708919335813
"114","Cape Breton--Canso","Male","French",7880,0.142999727792396
"115","Cape Breton--Canso","Male","Irish",7465,0.135468650757644
"116","Cape Breton--Canso","Male","German",1435,0.0260411940840214
"117","Cape Breton--Canso","Male","Chinese",100,0.00181471735777153
"118","Cape Breton--Canso","Male","Italian",850,0.015425097541058
"119","Cape Breton--Canso","Male","First_Nations",1765,0.0320297613646675
"120","Cape Breton--Canso","Male","South_Asian",60,0.00108883041466292
"121","Central Nova","Male","Canadian",15055,0.266201043232252
"122","Central Nova","Male","English",9045,0.159932808770224
"123","Central Nova","Male","Scottish",15110,0.267173547873751
"124","Central Nova","Male","French",5250,0.0928299885067633
"125","Central Nova","Male","Irish",7150,0.126425603394925
"126","Central Nova","Male","German",3055,0.0540182123596499
"127","Central Nova","Male","Chinese",85,0.00150296171868093
"128","Central Nova","Male","Italian",315,0.0055697993104058
"129","Central Nova","Male","First_Nations",1310,0.023163292370259
"130","Central Nova","Male","South_Asian",180,0.00318274246308903
"131","Cumberland--Colchester","Male","Canadian",17980,0.298646291836226
"132","Cumberland--Colchester","Male","English",11850,0.196827506021095
"133","Cumberland--Colchester","Male","Scottish",12590,0.209118843949838
"134","Cumberland--Colchester","Male","French",5065,0.084129225147413
"135","Cumberland--Colchester","Male","Irish",7580,0.125903164189021
"136","Cumberland--Colchester","Male","German",2815,0.0467569138775849
"137","Cumberland--Colchester","Male","Chinese",70,0.00116269412839465
"138","Cumberland--Colchester","Male","Italian",335,0.0055643219001744
"139","Cumberland--Colchester","Male","First_Nations",1775,0.0294826011128644
"140","Cumberland--Colchester","Male","South_Asian",145,0.00240843783738892
"141","Dartmouth--Cole Harbour","Male","Canadian",17735,0.248877350547292
"142","Dartmouth--Cole Harbour","Male","English",13860,0.194499017681729
"143","Dartmouth--Cole Harbour","Male","Scottish",12670,0.177799607072692
"144","Dartmouth--Cole Harbour","Male","French",7435,0.104336233511086
"145","Dartmouth--Cole Harbour","Male","Irish",10535,0.147838899803536
"146","Dartmouth--Cole Harbour","Male","German",4885,0.0685517822060062
"147","Dartmouth--Cole Harbour","Male","Chinese",360,0.00505192253718776
"148","Dartmouth--Cole Harbour","Male","Italian",975,0.0136822902048835
"149","Dartmouth--Cole Harbour","Male","First_Nations",2295,0.032206006174572
"150","Dartmouth--Cole Harbour","Male","South_Asian",510,0.007156890261016
"151","Halifax","Male","Canadian",14055,0.210435693966163
"152","Halifax","Male","English",12710,0.19029794879473
"153","Halifax","Male","Scottish",12030,0.180116783949693
"154","Halifax","Male","French",6515,0.097544542596197
"155","Halifax","Male","Irish",10685,0.15997903877826
"156","Halifax","Male","German",4645,0.0695463392723462
"157","Halifax","Male","Chinese",1735,0.0259769426560862
"158","Halifax","Male","Italian",1115,0.0166941158856116
"159","Halifax","Male","First_Nations",1665,0.0249288815690972
"160","Halifax","Male","South_Asian",1635,0.0244797125318161
"161","Halifax West","Male","Canadian",15245,0.231212557822098
"162","Halifax West","Male","English",12765,0.193599757336771
"163","Halifax West","Male","Scottish",11805,0.179039963600516
"164","Halifax West","Male","French",6745,0.102297717449003
"165","Halifax West","Male","Irish",9705,0.147190414802457
"166","Halifax West","Male","German",4480,0.0679457041025252
"167","Halifax West","Male","Chinese",1155,0.0175172518389323
"168","Halifax West","Male","Italian",950,0.0144081292181694
"169","Halifax West","Male","First_Nations",1695,0.0257071358155759
"170","Halifax West","Male","South_Asian",1390,0.0210813680139531
"171","Kings--Hants","Male","Canadian",19125,0.308941119457233
"172","Kings--Hants","Male","English",12525,0.202326144899443
"173","Kings--Hants","Male","Scottish",10295,0.166303206526129
"174","Kings--Hants","Male","French",4005,0.0646959050157499
"175","Kings--Hants","Male","Irish",8090,0.130684112753412
