"","Riding","Sex","Official Language Spoken","n","freq"
"93","Sackville--Preston--Chezzetcook","Male","English_and_French",55,0.00126088950022925
"94","Sackville--Preston--Chezzetcook","Male","Neither",25,0.000573131591013297
"95","Sackville--Preston--Chezzetcook","Male","Language_Minority",1225,0.0280834479596515
"96","South Shore--St. Margarets","Male","English",44125,0.973954309678843
"97","South Shore--St. Margarets","Male","French",535,0.0118088511201854
"98","South Shore--St. Margarets","Male","English_and_French",50,0.00110363094581172
"99","South Shore--St. Margarets","Male","Neither",40,0.000882904756649376
"100","South Shore--St. Margarets","Male","Language_Minority",555,0.0122503034985101
"101","Sydney--Victoria","Male","English",33420,0.983664459161148
"102","Sydney--Victoria","Male","French",240,0.00706401766004415
"103","Sydney--Victoria","Male","English_and_French",35,0.00103016924208977
"104","Sydney--Victoria","Male","Neither",25,0.000735835172921266
"105","Sydney--Victoria","Male","Language_Minority",255,0.00750551876379691
"106","West Nova","Male","English",33970,0.760891477209094
"107","West Nova","Male","French",5255,0.117706350095195
"108","West Nova","Male","English_and_French",85,0.00190390861238661
"109","West Nova","Male","Neither",30,0.000671967745548214
"110","West Nova","Male","Language_Minority",5305,0.118826296337776
"111","Acadie--Bathurst","Male","English",6240,0.0899200230564162
"112","Acadie--Bathurst","Male","French",31470,0.453490885510483
"113","Acadie--Bathurst","Male","English_and_French",125,0.00180128251314936
"114","Acadie--Bathurst","Male","Neither",30,0.000432307803155847
"115","Acadie--Bathurst","Male","Language_Minority",31530,0.454355501116795
"116","Beauséjour","Male","English",14530,0.222545565936591
"117","Beauséjour","Male","French",25140,0.385051309542043
"118","Beauséjour","Male","English_and_French",250,0.00382907030173074
"119","Beauséjour","Male","Neither",105,0.00160820952672691
"120","Beauséjour","Male","Language_Minority",25265,0.386965844692909
"121","Fredericton","Male","English",36850,0.841420253453591
"122","Fredericton","Male","French",3175,0.0724968603721886
"123","Fredericton","Male","English_and_French",200,0.00456673136202763
"124","Fredericton","Male","Neither",295,0.00673592875899075
"125","Fredericton","Male","Language_Minority",3275,0.0747802260532024
"126","Fundy Royal","Male","English",37420,0.919975414874001
"127","Fundy Royal","Male","French",1560,0.0383527965580824
"128","Fundy Royal","Male","English_and_French",70,0.00172095881991395
"129","Fundy Royal","Male","Neither",30,0.000737553779963122
"130","Fundy Royal","Male","Language_Minority",1595,0.0392132759680393
"131","Madawaska--Restigouche","Male","English",5225,0.099685204616999
"132","Madawaska--Restigouche","Male","French",23460,0.44758179910331
"133","Madawaska--Restigouche","Male","English_and_French",165,0.00314795383001049
"134","Madawaska--Restigouche","Male","Neither",20,0.000381570161213393
"135","Madawaska--Restigouche","Male","Language_Minority",23545,0.449203472288467
"136","Miramichi--Grand Lake","Male","English",21050,0.609968125181107
"137","Miramichi--Grand Lake","Male","French",6660,0.192987539843524
"138","Miramichi--Grand Lake","Male","English_and_French",85,0.00246305418719212
"139","Miramichi--Grand Lake","Male","Neither",20,0.000579542161692263
"140","Miramichi--Grand Lake","Male","Language_Minority",6695,0.194001738626485
"141","Moncton--Riverview--Dieppe","Male","English",28925,0.498749892232089
"142","Moncton--Riverview--Dieppe","Male","French",14075,0.242693335632382
"143","Moncton--Riverview--Dieppe","Male","English_and_French",435,0.00750064660746616
"144","Moncton--Riverview--Dieppe","Male","Neither",265,0.00456935942753686
"145","Moncton--Riverview--Dieppe","Male","Language_Minority",14295,0.246486766100526
"146","New Brunswick Southwest","Male","English",30765,0.927215189873418
"147","New Brunswick Southwest","Male","French",1175,0.03541289933695
"148","New Brunswick Southwest","Male","English_and_French",30,0.000904159132007233
"149","New Brunswick Southwest","Male","Neither",20,0.000602772754671489
"150","New Brunswick Southwest","Male","Language_Minority",1190,0.0358649789029536
"151","Saint John--Rothesay","Male","English",35300,0.912144702842377
"152","Saint John--Rothesay","Male","French",1440,0.0372093023255814
"153","Saint John--Rothesay","Male","English_and_French",125,0.00322997416020672
"154","Saint John--Rothesay","Male","Neither",340,0.00878552971576227
"155","Saint John--Rothesay","Male","Language_Minority",1495,0.0386304909560723
"156","Tobique--Mactaquac","Male","English",27935,0.720345538937597
"157","Tobique--Mactaquac","Male","French",5345,0.137828777720474
"158","Tobique--Mactaquac","Male","English_and_French",75,0.0019339865910263
"159","Tobique--Mactaquac","Male","Neither",40,0.00103145951521403
"160","Tobique--Mactaquac","Male","Language_Minority",5385,0.138860237235688
"161","Abitibi--Baie-James--Nunavik--Eeyou","Male","English",11170,0.196136962247586
"162","Abitibi--Baie-James--Nunavik--Eeyou","Male","French",28930,0.507989464442493
"163","Abitibi--Baie-James--Nunavik--Eeyou","Male","English_and_French",2775,0.0487269534679543
"164","Abitibi--Baie-James--Nunavik--Eeyou","Male","Neither",1515,0.0266022827041264
"165","Abitibi--Baie-James--Nunavik--Eeyou","Male","Language_Minority",12560,0.22054433713784
"166","Abitibi--Témiscamingue","Male","English",1750,0.0327102803738318
"167","Abitibi--Témiscamingue","Male","French",49750,0.929906542056075
"168","Abitibi--Témiscamingue","Male","English_and_French",155,0.00289719626168224
"169","Abitibi--Témiscamingue","Male","Neither",15,0.000280373831775701
"170","Abitibi--Témiscamingue","Male","Language_Minority",1830,0.0342056074766355
"171","Ahuntsic-Cartierville","Male","English",8785,0.130438010393467
"172","Ahuntsic-Cartierville","Male","French",38645,0.573793615441722
"173","Ahuntsic-Cartierville","Male","English_and_French",6470,0.0960653303637713
"174","Ahuntsic-Cartierville","Male","Neither",1425,0.0211581291759465
"175","Ahuntsic-Cartierville","Male","Language_Minority",12025,0.178544914625093
"176","Alfred-Pellan","Male","English",8300,0.142587184332589
"177","Alfred-Pellan","Male","French",36815,0.63245146881979
"178","Alfred-Pellan","Male","English_and_French",2955,0.0507644734581687
"179","Alfred-Pellan","Male","Neither",360,0.0061845043806906
"180","Alfred-Pellan","Male","Language_Minority",9780,0.168012369008761
"181","Argenteuil--La Petite-Nation","Male","English",5170,0.0975932043416706
"182","Argenteuil--La Petite-Nation","Male","French",42120,0.795092024539877
"183","Argenteuil--La Petite-Nation","Male","English_and_French",325,0.00613496932515337
"184","Argenteuil--La Petite-Nation","Male","Neither",25,0.00047192071731949
"185","Argenteuil--La Petite-Nation","Male","Language_Minority",5335,0.100707881075979
"186","Avignon--La Mitis--Matane--Matapédia","Male","English",1360,0.0370269534440512
"187","Avignon--La Mitis--Matane--Matapédia","Male","French",33910,0.923223523005717
"188","Avignon--La Mitis--Matane--Matapédia","Male","English_and_French",60,0.00163354206370814
"189","Avignon--La Mitis--Matane--Matapédia","Male","Neither",5,0.000136128505309012
"190","Avignon--La Mitis--Matane--Matapédia","Male","Language_Minority",1395,0.0379798529812143
"191","Beauce","Male","English",365,0.00665329930732774
"192","Beauce","Male","French",53905,0.982592052497266
"193","Beauce","Male","English_and_French",110,0.0020051039008385
"194","Beauce","Male","Neither",55,0.00100255195041925
"195","Beauce","Male","Language_Minority",425,0.00774699234414874
"196","Beauport--Limoilou","Male","English",620,0.0134417344173442
"197","Beauport--Limoilou","Male","French",43930,0.952411924119241
"198","Beauport--Limoilou","Male","English_and_French",485,0.0105149051490515
"199","Beauport--Limoilou","Male","Neither",230,0.00498644986449864
"200","Beauport--Limoilou","Male","Language_Minority",860,0.0186449864498645
"201","Bécancour--Nicolet--Saurel","Male","English",435,0.00923664932583077
"202","Bécancour--Nicolet--Saurel","Male","French",46025,0.977279966026117
"203","Bécancour--Nicolet--Saurel","Male","English_and_French",110,0.00233570442722157
"204","Bécancour--Nicolet--Saurel","Male","Neither",35,0.000743178681388683
"205","Bécancour--Nicolet--Saurel","Male","Language_Minority",490,0.0104045015394416
"206","Bellechasse--Les Etchemins--Lévis","Male","English",505,0.00894438540559688
"207","Bellechasse--Les Etchemins--Lévis","Male","French",55205,0.977771873893022
"208","Bellechasse--Les Etchemins--Lévis","Male","English_and_French",135,0.00239107332624867
"209","Bellechasse--Les Etchemins--Lévis","Male","Neither",40,0.000708466170740347
"210","Bellechasse--Les Etchemins--Lévis","Male","Language_Minority",575,0.0101842012043925
"211","Beloeil--Chambly","Male","English",2225,0.0373071763916834
"212","Beloeil--Chambly","Male","French",54365,0.911552649228706
"213","Beloeil--Chambly","Male","English_and_French",495,0.00829979879275654
"214","Beloeil--Chambly","Male","Neither",80,0.00134138162307176
"215","Beloeil--Chambly","Male","Language_Minority",2475,0.0414989939637827
"216","Berthier--Maskinongé","Male","English",485,0.0096144315591238
"217","Berthier--Maskinongé","Male","French",49305,0.977401129943503
"218","Berthier--Maskinongé","Male","English_and_French",85,0.00168500346912479
"219","Berthier--Maskinongé","Male","Neither",40,0.000792942808999901
"220","Berthier--Maskinongé","Male","Language_Minority",530,0.0105064922192487
"221","Thérèse-De Blainville","Male","English",2865,0.0542100283822138
"222","Thérèse-De Blainville","Male","French",45630,0.863386944181646
"223","Thérèse-De Blainville","Male","English_and_French",935,0.0176915799432356
"224","Thérèse-De Blainville","Male","Neither",90,0.00170293282876064
"225","Thérèse-De Blainville","Male","Language_Minority",3330,0.0630085146641438
"226","Pierre-Boucher--Les Patriotes--Verchères","Male","English",1150,0.0227272727272727
"227","Pierre-Boucher--Les Patriotes--Verchères","Male","French",47630,0.941304347826087
"228","Pierre-Boucher--Les Patriotes--Verchères","Male","English_and_French",425,0.00839920948616601
"229","Pierre-Boucher--Les Patriotes--Verchères","Male","Neither",35,0.000691699604743083
"230","Pierre-Boucher--Les Patriotes--Verchères","Male","Language_Minority",1360,0.0268774703557312
"231","Bourassa","Male","English",4575,0.0845656192236599
"232","Bourassa","Male","French",37700,0.696857670979667
"233","Bourassa","Male","English_and_French",4250,0.0785582255083179
"234","Bourassa","Male","Neither",875,0.016173752310536
"235","Bourassa","Male","Language_Minority",6700,0.123844731977819
"236","Brome--Missisquoi","Male","English",7405,0.127551459822582
"237","Brome--Missisquoi","Male","French",42610,0.733959176642839
"238","Brome--Missisquoi","Male","English_and_French",390,0.00671776763414004
"239","Brome--Missisquoi","Male","Neither",50,0.000861252260787185
"240","Brome--Missisquoi","Male","Language_Minority",7600,0.130910343639652
"241","Brossard--Saint-Lambert","Male","English",12150,0.184384247666743
"242","Brossard--Saint-Lambert","Male","French",30745,0.466575612717202
"243","Brossard--Saint-Lambert","Male","English_and_French",6190,0.0939373245314516
"244","Brossard--Saint-Lambert","Male","Neither",1565,0.023749905152136
"245","Brossard--Saint-Lambert","Male","Language_Minority",15245,0.231352909932468
"246","Rimouski-Neigette--Témiscouata--Les Basques","Male","English",255,0.00615570307785154
