"cps19_ResponseId","votechoice"
"R_6VRxyCtGy7jxCx3",5
"R_2B54AtKv0DE4gdY",9
"R_3e1RYdhSjOjxo2C",5
"R_bNk1XEjD6zfR4Xv",3
"R_3r19AGHawlMqbYJ",1
"R_2QzwQeow8YGxpQq",2
"R_2EnkttD9gjvMQmE",2
"R_2fJLGevWwxij9Jf",1
"R_1mPfh1o45daCbxd",2
"R_1DotsVzObkBRvfo",5
"R_25TREM3VP3vuZ1k",2
"R_2mJadSWBJNUNWAF",1
"R_3egO3KLMdRlsiJz",1
"R_3ph7iiuyBHO59Oe",2
"R_3LYcoxeQChDnb23",1
"R_2Y3A0Z8e1KdTkOy",2
"R_YPSVZ17j0qL2jcd",1
"R_xrd6VhcnBO99JAJ",7
"R_3k70BdkvvVCW3rq",9
"R_1FmrUs1uP7UC4v1",2
"R_2rAsYYwXrNFwUbu",2
"R_1Fezuk9e7E5mv60",2
"R_3r0NEMt1q9yB2oj",2
"R_1i8mmBKES2E8z5C",3
"R_3HODsh8jSKq48o3",2
"R_tKRwwOcgG5kxuEx",9
"R_2YArCky0wxjsLDz",1
"R_1eqsvQYbC4GNu1X",2
"R_27e4OU9EaMODIbP",3
"R_0Ihm2PA0FmE5LjP",9
"R_1DHZv7u7shBLWkl",2
"R_3k0XGXU4yIg7TJo",9
"R_1Ok0KmgS9r1ne0p",2
"R_wL6RkSyVjuNKfVT",2
"R_1NmlE1jFx6RVIBW",5
"R_33gvgYCjwl6J5GD",2
"R_2aVxE7ZLoQIfkOU",9
"R_cRVOyXzr6eavJUR",1
"R_WlEDJBS7v82Q3HH",2
"R_2TF48XAO0EVuGOd",5
"R_3McklvTcasA7yN3",9
"R_W2TYH2Hul9PD7BT",1
"R_26mX2zgMSeJ6xgw",2
"R_2EH2q9tCUKohLnc",3
"R_3jUM5oIRKSjOy5l",1
"R_1FzIInax20OUP0A",9
"R_2Pb6eqBCY7Yxlhm",1
"R_1NDkzGnBuTAhfX3",1
"R_2EbCanVDQ70GD5c",9
"R_2vkVOM1UlceC92T",3
"R_3OjrGtZnJ3X1VXq",2
"R_bfiFI3DeSxh6pMt",1
"R_3fpKpxwZePSyXjZ",1
"R_3OkL9l7BcgQgdLD",1
"R_5dqj9AGDasOubap",7
"R_pEsAKhc10qqPUlz",2
"R_3MzICHejpHRvkiK",5
"R_3IQcbpgsK9t6tXT",1
"R_1o4H1fubSe7FlNW",1
"R_1dzT4ZdNKmTUYHe",1
"R_2V3zi3XOYyREMwN",2
"R_1lucHmscj47bIEb",2
"R_1mWA5VJSMVBcpJ4",5
"R_3gZWpB6WxlOUWsA",4
"R_qI0m78Q3aHVjydr",1
"R_1eFWvRT4hNbVVV1",1
"R_2SqMRPLb1dCHXbu",3
"R_3m9TKoStJr490rY",9
"R_wOkztv6sfJLKiel",3
"R_25ZRYHACGxnqmoM",2
"R_a5iYPxJH6fcZexP",9
"R_30qv36aXWZuK9M6",1
"R_2uEcYSjXuKiUR45",3
"R_3j0Vve5aDo2cwSz",3
"R_1pGrRLdCemt2W8F",5
"R_DHxzOhtZQFsOuOZ",2
"R_x6qMwhSZclNIdaN",1
"R_1pRuOG0YodOvLGh",1
"R_3e9Xu4Bc6CkscZW",2
"R_3FOSYv5VL5lSWem",4
"R_3q9cftXspJzpmT1",9
"R_1i20Bt1Kx0EO8bI",1
"R_3rVzOmEyhSMedS9",2
"R_1oFmwjTk4VJVifX",9
"R_1eF2YTHbtkpiN4q",5
"R_3DkyeSlBH2rCKiT",3
"R_DqoBw7ZmMHWgHoB",1
"R_03uKnRBtdA1L6yR",2
"R_1dagV1XDUQPaxsb",2
"R_xg9y7vveJfOhHrP",4
"R_6PQUIsQaUsOUJZ7",1
"R_3FbxNxmMSArZfP3",1
"R_3r0cFwbcvyfP6kc",2
"R_3M6k28KkMbiz5PW",5
"R_RF7tBoAipIydk2t",1
"R_1HoCBsrbXZhUAvR",1
"R_23dSuZrdSAvnvUV",1
"R_Umf4hPm7lV3ydH3",9
"R_YWCbuTSQdmmcGKl",2
"R_31HsUEjWfv8WU29",5
"R_2wvRaMrE7y5viXU",5
"R_10vzNdaTVkbEaxL",2
"R_1dnUyqUZjOYJq6I",2
"R_88plKzIEYDxrgIx",1
"R_1nTtOMAGKMVtbLS",5
"R_1GBOGHoURot4LaL",9
"R_DSR32EAlGV2To2Z",2
"R_2Qzk1LAwPa9z0D7",2
"R_3HtPOiT32eHYiA6",9
"R_3prqB926VGiKpLQ",3
"R_8iCyNhsacB033NL",2
"R_yKMtKdEEbsNubIJ",3
"R_1ogPKkU0YGCTNLZ",2
"R_3HOBUzh5RjbIJlo",5
"R_1f1tNUEAzeZahBh",1
"R_32X6WN1tXyjwJED",2
"R_siDszMVl4nP4M3T",1
"R_2QhWE6XAuMba4Bv",3
"R_3etojmHbLJ9iG2o",2
"R_3ehoXYXAQqWJs0O",5
"R_1eQ9yw4VZiaqbmc",5
"R_3lspCSHxbzz3BSY",1
"R_2THGD3oG1TNYIla",4
"R_2475Kwb2I2OgUSc",2
"R_3GvNdl07lXSgVNI",5
"R_1LdFz3q5ZYyWlAn",2
"R_AcjFHnPZFBL2kNP",1
"R_2PcY3Plnzfpncpj",1
"R_129oQHILKVNjv14",1
"R_3HNC232ig0O4zRn",2
"R_1dcTstX450VSSmc",1
"R_p4dXxww3UYzWSK5",9
"R_3PppRCIrbDi29SI",4
"R_2PA51ZGMki98OK1",9
"R_WwicbiS1rWlGbSx",2
"R_2Qg0ssCRIqt8DQ9",1
"R_Q6MdNP6ci3SeMDv",1
"R_ZsHdiqtYgXoW9kl",1
"R_3DvZ2sBpbl11Vvw",2
"R_6qZbnjlq9YM576V",5
"R_SCbTtgzZs19jCqB",1
"R_sdiJ6GRAE4RO6Jz",1
"R_27j7BkAW5rcEqw1",6
"R_1Oq0q7YNnYH4kZY",9
"R_6ujIPYl2lN6tB0R",5
"R_3ISJBSAShskucqu",9
"R_pzmwHJ3YolqyBR7",9
