"cps19_ResponseId","language"
"R_1JLpKxElyp4zPHy","English"
"R_1K9HUfPNAiQVDJu","French"
"R_VQivgI4nwrZlkUV","English"
"R_3VRygimwlRi957z","English"
"R_2dxVBPOOmvGTCXE","French"
"R_1d5dSqLrgTFez4Z","English"
"R_1JOBEIwxAhEhPy0","English"
"R_2OSF3bRhkHSJ45Y","English_and_French"
"R_1E54V9G16zwxpHz","English_and_French"
"R_ddofjoaJlDDhYvD","French"
"R_3Mcxg0Cstf8a4rt","English"
"R_3ly9uWChqk0l9c0","French"
"R_2tgueZB2m4MrjCj","French"
"R_6VRxyCtGy7jxCx3","English"
"R_2B54AtKv0DE4gdY","French"
"R_3e1RYdhSjOjxo2C","English_and_French"
"R_bNk1XEjD6zfR4Xv","English_and_French"
"R_3r19AGHawlMqbYJ","English_and_French"
"R_2QzwQeow8YGxpQq","Neither"
"R_2EnkttD9gjvMQmE","English"
"R_2fJLGevWwxij9Jf","French"
"R_1mPfh1o45daCbxd","English"
"R_1DotsVzObkBRvfo","English"
"R_25TREM3VP3vuZ1k","Neither"
"R_2mJadSWBJNUNWAF","English"
"R_3egO3KLMdRlsiJz","English"
"R_3ph7iiuyBHO59Oe","English"
"R_3LYcoxeQChDnb23","English"
"R_2Y3A0Z8e1KdTkOy","English"
"R_YPSVZ17j0qL2jcd","English"
"R_xrd6VhcnBO99JAJ","French"
"R_3k70BdkvvVCW3rq","French"
"R_1FmrUs1uP7UC4v1","French"
"R_2rAsYYwXrNFwUbu","English"
"R_1Fezuk9e7E5mv60","English"
"R_3r0NEMt1q9yB2oj","English"
"R_1i8mmBKES2E8z5C","English"
"R_3HODsh8jSKq48o3","French"
"R_tKRwwOcgG5kxuEx","English"
"R_2YArCky0wxjsLDz","English_and_French"
"R_1eqsvQYbC4GNu1X","English"
"R_27e4OU9EaMODIbP","English"
"R_0Ihm2PA0FmE5LjP","English"
"R_1DHZv7u7shBLWkl","Neither"
"R_3k0XGXU4yIg7TJo","English"
"R_1Ok0KmgS9r1ne0p","English"
"R_wL6RkSyVjuNKfVT","French"
"R_1K2Z8KGbp1fmVFW","English"
"R_1NmlE1jFx6RVIBW","English_and_French"
"R_33gvgYCjwl6J5GD","English"
"R_2aVxE7ZLoQIfkOU","English"
"R_cRVOyXzr6eavJUR","Neither"
"R_WlEDJBS7v82Q3HH","English"
"R_2TF48XAO0EVuGOd","English"
"R_3McklvTcasA7yN3","English"
"R_W2TYH2Hul9PD7BT","English"
"R_26mX2zgMSeJ6xgw","English"
"R_2EH2q9tCUKohLnc","English"
"R_3jUM5oIRKSjOy5l","English"
"R_1FzIInax20OUP0A","French"
"R_2Pb6eqBCY7Yxlhm","English"
"R_1NDkzGnBuTAhfX3","English_and_French"
"R_2EbCanVDQ70GD5c","English"
"R_2vkVOM1UlceC92T","English_and_French"
"R_3OjrGtZnJ3X1VXq","English"
"R_25EJqJcFDHVtUpQ","English"
"R_bfiFI3DeSxh6pMt","English"
"R_3fpKpxwZePSyXjZ","English"
"R_3OkL9l7BcgQgdLD","English"
"R_5dqj9AGDasOubap","English"
"R_pEsAKhc10qqPUlz","English"
"R_3MzICHejpHRvkiK","English_and_French"
"R_3IQcbpgsK9t6tXT","French"
"R_1o4H1fubSe7FlNW","English"
"R_1dzT4ZdNKmTUYHe","English_and_French"
"R_2V3zi3XOYyREMwN","French"
"R_1lucHmscj47bIEb","French"
"R_1mWA5VJSMVBcpJ4","English"
"R_3gZWpB6WxlOUWsA","French"
"R_qI0m78Q3aHVjydr","English"
"R_1eFWvRT4hNbVVV1","English"
"R_2SqMRPLb1dCHXbu","English"
"R_3m9TKoStJr490rY","French"
"R_wOkztv6sfJLKiel","English"
"R_25ZRYHACGxnqmoM","French"
"R_a5iYPxJH6fcZexP","French"
"R_30qv36aXWZuK9M6","English_and_French"
"R_2uEcYSjXuKiUR45","English"
"R_3j0Vve5aDo2cwSz","English"
"R_1pGrRLdCemt2W8F","English"
"R_DHxzOhtZQFsOuOZ","English"
"R_x6qMwhSZclNIdaN","French"
"R_1pRuOG0YodOvLGh","English"
"R_3e9Xu4Bc6CkscZW","English"
"R_3FOSYv5VL5lSWem","French"
"R_3q9cftXspJzpmT1","Neither"
"R_1i20Bt1Kx0EO8bI","English"
"R_3rVzOmEyhSMedS9","English"
"R_1oFmwjTk4VJVifX","English"
"R_1eF2YTHbtkpiN4q","English"
"R_3DkyeSlBH2rCKiT","English"
"R_DqoBw7ZmMHWgHoB","English_and_French"
"R_03uKnRBtdA1L6yR","English_and_French"
"R_1dagV1XDUQPaxsb","English"
"R_xg9y7vveJfOhHrP","French"
"R_6PQUIsQaUsOUJZ7","English"
"R_3FbxNxmMSArZfP3","English"
"R_3r0cFwbcvyfP6kc","English"
"R_3M6k28KkMbiz5PW","French"
"R_RF7tBoAipIydk2t","English"
"R_1HoCBsrbXZhUAvR","English"
"R_23dSuZrdSAvnvUV","English"
"R_Umf4hPm7lV3ydH3","French"
"R_YWCbuTSQdmmcGKl","English"
"R_31HsUEjWfv8WU29","English"
"R_2wvRaMrE7y5viXU","English"
"R_10vzNdaTVkbEaxL","French"
"R_1dnUyqUZjOYJq6I","English"
"R_88plKzIEYDxrgIx","Neither"
"R_1nTtOMAGKMVtbLS","English"
"R_1GBOGHoURot4LaL","English"
"R_DSR32EAlGV2To2Z","French"
