,cps19_ResponseId,cps19_province,cps19_age
136,R_3Mm2RbAft9fuGiv,22,73
137,R_1dNBFv9hzoeljP0,22,69
138,R_2TQX27jhSXdsHGx,22,67
139,R_RK0FLRXW1tdVoGJ,24,76
140,R_DoZvDkhCCR0Tp7z,24,49
141,R_3MsZu9jac3bHoHy,22,62
142,R_1DG3YA5j2TVa8Bs,20,47
143,R_1JLpKxElyp4zPHy,22,54
144,R_1K9HUfPNAiQVDJu,24,55
145,R_VQivgI4nwrZlkUV,22,58
146,R_3VRygimwlRi957z,16,41
147,R_2dxVBPOOmvGTCXE,24,54
148,R_1d5dSqLrgTFez4Z,14,34
149,R_1JOBEIwxAhEhPy0,15,66
150,R_2OSF3bRhkHSJ45Y,24,48
151,R_1E54V9G16zwxpHz,15,68
152,R_ddofjoaJlDDhYvD,22,53
153,R_3Mcxg0Cstf8a4rt,20,68
154,R_3ly9uWChqk0l9c0,24,65
155,R_2tgueZB2m4MrjCj,24,28
156,R_6VRxyCtGy7jxCx3,16,40
157,R_2B54AtKv0DE4gdY,24,28
158,R_3e1RYdhSjOjxo2C,22,69
159,R_bNk1XEjD6zfR4Xv,22,35
160,R_3r19AGHawlMqbYJ,17,34
161,R_2QzwQeow8YGxpQq,14,56
162,R_2EnkttD9gjvMQmE,22,28
163,R_2fJLGevWwxij9Jf,24,68
164,R_1mPfh1o45daCbxd,14,44
165,R_1DotsVzObkBRvfo,22,50
166,R_25TREM3VP3vuZ1k,22,39
167,R_2mJadSWBJNUNWAF,14,61
168,R_3egO3KLMdRlsiJz,22,74
169,R_3ph7iiuyBHO59Oe,16,54
170,R_3LYcoxeQChDnb23,16,40
171,R_2Y3A0Z8e1KdTkOy,16,60
172,R_YPSVZ17j0qL2jcd,15,54
173,R_xrd6VhcnBO99JAJ,24,46
174,R_3k70BdkvvVCW3rq,24,60
175,R_1FmrUs1uP7UC4v1,24,59
176,R_2rAsYYwXrNFwUbu,22,63
177,R_1Fezuk9e7E5mv60,22,67
178,R_3r0NEMt1q9yB2oj,22,51
179,R_1i8mmBKES2E8z5C,22,72
180,R_3HODsh8jSKq48o3,24,56
181,R_tKRwwOcgG5kxuEx,25,37
182,R_2YArCky0wxjsLDz,24,60
183,R_1eqsvQYbC4GNu1X,22,81
184,R_27e4OU9EaMODIbP,22,63
185,R_0Ihm2PA0FmE5LjP,22,39
186,R_1DHZv7u7shBLWkl,22,63
187,R_3k0XGXU4yIg7TJo,22,61
188,R_1Ok0KmgS9r1ne0p,22,65
189,R_wL6RkSyVjuNKfVT,24,72
190,R_1K2Z8KGbp1fmVFW,22,39
191,R_1NmlE1jFx6RVIBW,22,99
192,R_33gvgYCjwl6J5GD,22,81
193,R_2aVxE7ZLoQIfkOU,20,70
194,R_cRVOyXzr6eavJUR,22,30
195,R_WlEDJBS7v82Q3HH,22,37
196,R_2TF48XAO0EVuGOd,20,52
197,R_3McklvTcasA7yN3,14,55
198,R_W2TYH2Hul9PD7BT,22,49
199,R_26mX2zgMSeJ6xgw,22,81
200,R_2EH2q9tCUKohLnc,22,66
201,R_3jUM5oIRKSjOy5l,22,73
202,R_1FzIInax20OUP0A,24,30
203,R_2Pb6eqBCY7Yxlhm,22,53
204,R_1NDkzGnBuTAhfX3,22,57
205,R_2EbCanVDQ70GD5c,22,84
206,R_2vkVOM1UlceC92T,22,69
207,R_3OjrGtZnJ3X1VXq,22,80
208,R_25EJqJcFDHVtUpQ,15,60
209,R_bfiFI3DeSxh6pMt,22,25
210,R_3fpKpxwZePSyXjZ,22,36
211,R_3OkL9l7BcgQgdLD,22,60
212,R_5dqj9AGDasOubap,22,69
213,R_pEsAKhc10qqPUlz,22,58
214,R_3MzICHejpHRvkiK,22,49
215,R_3IQcbpgsK9t6tXT,24,63
216,R_1o4H1fubSe7FlNW,22,19
217,R_1dzT4ZdNKmTUYHe,22,26
218,R_2V3zi3XOYyREMwN,24,64
219,R_1lucHmscj47bIEb,22,62
220,R_1mWA5VJSMVBcpJ4,17,57
221,R_3gZWpB6WxlOUWsA,24,65
222,R_qI0m78Q3aHVjydr,22,66
223,R_1eFWvRT4hNbVVV1,22,60
224,R_2SqMRPLb1dCHXbu,22,43
225,R_3m9TKoStJr490rY,24,63
226,R_wOkztv6sfJLKiel,20,58
227,R_25ZRYHACGxnqmoM,24,55
228,R_a5iYPxJH6fcZexP,24,58
229,R_30qv36aXWZuK9M6,22,74
230,R_2uEcYSjXuKiUR45,22,42
231,R_3j0Vve5aDo2cwSz,22,56
232,R_1pGrRLdCemt2W8F,22,36
233,R_DHxzOhtZQFsOuOZ,22,73
234,R_x6qMwhSZclNIdaN,24,42
235,R_1pRuOG0YodOvLGh,22,36
236,R_3e9Xu4Bc6CkscZW,22,50
237,R_3FOSYv5VL5lSWem,24,73
238,R_3q9cftXspJzpmT1,22,40
239,R_1i20Bt1Kx0EO8bI,22,82
240,R_3rVzOmEyhSMedS9,25,41
241,R_1oFmwjTk4VJVifX,22,80
242,R_1eF2YTHbtkpiN4q,22,55
243,R_3DkyeSlBH2rCKiT,22,71
244,R_DqoBw7ZmMHWgHoB,22,42
245,R_03uKnRBtdA1L6yR,14,32
246,R_1dagV1XDUQPaxsb,22,77
247,R_xg9y7vveJfOhHrP,24,57
248,R_6PQUIsQaUsOUJZ7,22,56
249,R_3FbxNxmMSArZfP3,22,60
250,R_3r0cFwbcvyfP6kc,18,64
251,R_3M6k28KkMbiz5PW,24,23
252,R_RF7tBoAipIydk2t,22,68
253,R_1HoCBsrbXZhUAvR,22,28
254,R_23dSuZrdSAvnvUV,22,72
255,R_Umf4hPm7lV3ydH3,24,64
256,R_YWCbuTSQdmmcGKl,22,40
257,R_31HsUEjWfv8WU29,22,78
258,R_2wvRaMrE7y5viXU,24,29
259,R_10vzNdaTVkbEaxL,24,59
260,R_1dnUyqUZjOYJq6I,22,39
261,R_88plKzIEYDxrgIx,15,45
262,R_1nTtOMAGKMVtbLS,15,33
263,R_1GBOGHoURot4LaL,15,66
264,R_DSR32EAlGV2To2Z,24,47
265,R_2Qzk1LAwPa9z0D7,17,68
266,R_3HtPOiT32eHYiA6,24,35
267,R_3prqB926VGiKpLQ,22,70
268,R_8iCyNhsacB033NL,22,67
269,R_yKMtKdEEbsNubIJ,22,43
270,R_2BgL981smLSl46F,24,35
271,R_1ogPKkU0YGCTNLZ,24,62
272,R_3HOBUzh5RjbIJlo,22,41
273,R_1f1tNUEAzeZahBh,22,68
274,R_32X6WN1tXyjwJED,24,62
275,R_siDszMVl4nP4M3T,22,33
276,R_2QhWE6XAuMba4Bv,24,35
277,R_3etojmHbLJ9iG2o,17,79
278,R_3ehoXYXAQqWJs0O,22,46
279,R_1eQ9yw4VZiaqbmc,23,34
280,R_3lspCSHxbzz3BSY,22,47
281,R_2THGD3oG1TNYIla,24,74
282,R_2475Kwb2I2OgUSc,22,46
283,R_3GvNdl07lXSgVNI,24,47
284,R_1LdFz3q5ZYyWlAn,24,57
285,R_AcjFHnPZFBL2kNP,14,36
286,R_2PcY3Plnzfpncpj,22,30
287,R_129oQHILKVNjv14,22,52
288,R_3HNC232ig0O4zRn,22,74
289,R_1dcTstX450VSSmc,22,71
290,R_p4dXxww3UYzWSK5,24,68
291,R_3PppRCIrbDi29SI,24,48
292,R_2PA51ZGMki98OK1,22,75
293,R_WwicbiS1rWlGbSx,20,65
294,R_2Qg0ssCRIqt8DQ9,22,86
295,R_1pGzaPFO5X0lju3,22,37
