"cps19_ResponseId","cps19_education","cps19_bornin_canada","education"
"R_vUlT7jrXybSQ6sx",9,2,"Bachelors"
"R_1dafxXg5oKNuofQ",6,1,"College/Trades"
"R_1flnwDxMO1Y9R1Y",7,1,"College/Trades"
"R_1q57buTSmNsMIqL",9,1,"Bachelors"
"R_3pr2hyNP9hyomgo",9,2,"Bachelors"
"R_DBnspCtawnvRUNX",7,1,"College/Trades"
"R_6Dyo2klkE6NZJSN",10,1,"Postgrad"
"R_8vjQKdtPj5sdyRb",7,1,"College/Trades"
"R_6RIibXmR0wIAFHP",7,1,"College/Trades"
"R_1E4XU2dKFtuO4zV",9,1,"Bachelors"
"R_2dtJmYD8NohpbiL",6,1,"College/Trades"
"R_wNWQGBNlBr8ntYZ",9,1,"Bachelors"
"R_2rj8rFymfb5SZAM",5,1,"High school"
"R_2B2kTXliSOLC2aK",9,2,"Bachelors"
"R_3KC11IMwk6GQNyw",9,1,"Bachelors"
"R_2CPaDGPcWLcSkzV",8,1,"Bachelors"
"R_3QJty7iaxQBABMZ",10,1,"Postgrad"
"R_6Gtguuf06DDQ8QV",4,2,"No degree/ diploma"
"R_2OTgYli09bN6AmM",7,1,"College/Trades"
"R_ULc9oL7y5NgHCcp",6,2,"College/Trades"
"R_1OAyGB8Ym0kT3lK",9,1,"Bachelors"
"R_28BecXIsc25YU9X",10,1,"Postgrad"
"R_1P0HXM6DJsVn3C0",9,2,"Bachelors"
"R_3njfkeEp00ONu0q",9,1,"Bachelors"
"R_1o5YzpTjbSI6l9g",8,1,"Bachelors"
"R_RKRD4qmRNrhwtTH",9,1,"Bachelors"
"R_1LzNk6mGtbNm9Jn",9,1,"Bachelors"
"R_3Mm2RbAft9fuGiv",8,1,"Bachelors"
"R_1dNBFv9hzoeljP0",4,1,"No degree/ diploma"
"R_2TQX27jhSXdsHGx",9,1,"Bachelors"
"R_RK0FLRXW1tdVoGJ",5,1,"High school"
"R_DoZvDkhCCR0Tp7z",7,1,"College/Trades"
"R_3MsZu9jac3bHoHy",5,1,"High school"
"R_1DG3YA5j2TVa8Bs",11,1,"Postgrad"
"R_1JLpKxElyp4zPHy",9,1,"Bachelors"
"R_1K9HUfPNAiQVDJu",5,1,"High school"
"R_VQivgI4nwrZlkUV",4,1,"No degree/ diploma"
"R_3VRygimwlRi957z",7,1,"College/Trades"
"R_2dxVBPOOmvGTCXE",10,1,"Postgrad"
"R_1d5dSqLrgTFez4Z",9,1,"Bachelors"
"R_1JOBEIwxAhEhPy0",6,1,"College/Trades"
"R_2OSF3bRhkHSJ45Y",6,1,"College/Trades"
"R_1E54V9G16zwxpHz",10,1,"Postgrad"
"R_ddofjoaJlDDhYvD",5,1,"High school"
"R_3Mcxg0Cstf8a4rt",8,1,"Bachelors"
"R_3ly9uWChqk0l9c0",5,1,"High school"
"R_2tgueZB2m4MrjCj",9,1,"Bachelors"
"R_6VRxyCtGy7jxCx3",7,1,"College/Trades"
"R_2B54AtKv0DE4gdY",9,1,"Bachelors"
"R_3e1RYdhSjOjxo2C",6,1,"College/Trades"
"R_bNk1XEjD6zfR4Xv",7,1,"College/Trades"
"R_3r19AGHawlMqbYJ",9,2,"Bachelors"
"R_2QzwQeow8YGxpQq",9,2,"Bachelors"
"R_2EnkttD9gjvMQmE",9,1,"Bachelors"
"R_2fJLGevWwxij9Jf",5,1,"High school"
"R_1mPfh1o45daCbxd",10,2,"Postgrad"
"R_1DotsVzObkBRvfo",7,1,"College/Trades"
"R_25TREM3VP3vuZ1k",9,2,"Bachelors"
"R_2mJadSWBJNUNWAF",8,1,"Bachelors"
"R_3egO3KLMdRlsiJz",8,1,"Bachelors"
"R_3ph7iiuyBHO59Oe",6,1,"College/Trades"
"R_3LYcoxeQChDnb23",11,1,"Postgrad"
"R_2Y3A0Z8e1KdTkOy",5,1,"High school"
"R_YPSVZ17j0qL2jcd",10,1,"Postgrad"
"R_xrd6VhcnBO99JAJ",6,1,"College/Trades"
"R_3k70BdkvvVCW3rq",5,1,"High school"
"R_1FmrUs1uP7UC4v1",7,1,"College/Trades"
"R_2rAsYYwXrNFwUbu",6,1,"College/Trades"
"R_1Fezuk9e7E5mv60",9,2,"Bachelors"
"R_3r0NEMt1q9yB2oj",9,1,"Bachelors"
"R_1i8mmBKES2E8z5C",5,1,"High school"
"R_3HODsh8jSKq48o3",6,1,"College/Trades"
"R_tKRwwOcgG5kxuEx",5,1,"High school"
