"","riding_code","forecast_winner"
"266",24071,"LPC"
"267",35091,"CPC"
"268",47010,"CPC"
"269",47011,"CPC"
"270",47012,"CPC"
"271",35092,"CPC"
"272",35093,"CPC"
"273",35095,"CPC"
"274",35097,"CPC"
"275",35094,"CPC"
"276",35096,"CPC"
"277",35098,"CPC"
"278",46010,"CPC"
"279",24072,"LPC"
"280",24073,"LPC"
"281",48032,"CPC"
"282",35099,"CPC"
"283",35100,"CPC"
"284",59028,"CPC"
"285",47013,"CPC"
"286",59029,"CPC"
"287",12009,"CPC"
"288",59030,"CPC"
"289",35101,"LPC"
"290",48031,"CPC"
"291",35089,"CPC"
"292",10006,"CPC"
"293",10007,"CPC"
"294",59031,"CPC"
"295",35102,"CPC"
"296",48033,"CPC"
"297",35103,"CPC"
"298",59033,"CPC"
"299",59032,"CPC"
"300",12010,"CPC"
"301",24075,"LPC"
"302",24013,"LPC"
"303",35104,"LPC"
"304",35105,"CPC"
"305",35106,"CPC"
"306",35107,"CPC"
"307",13010,"CPC"
"308",35109,"CPC"
"309",35090,"CPC"
"310",35108,"LPC"
"311",24076,"LPC"
"312",35110,"LPC"
"313",59034,"CPC"
"314",59035,"CPC"
"315",59036,"CPC"
"316",59038,"CPC"
"317",59039,"LPC"
"318",59040,"CPC"
"319",24074,"LPC"
"320",35111,"CPC"
"321",59041,"CPC"
"322",24077,"LPC"
"323",24078,"LPC"
"324",35112,"CPC"
"325",35113,"CPC"
"326",12011,"CPC"
"327",59042,"CPC"
"328",35114,"CPC"
"329",35115,"LPC"
"330",35116,"CPC"
"331",35117,"CPC"
"332",46011,"CPC"
"333",46012,"CPC"
"334",46014,"CPC"
"335",46013,"CPC"
"336",48034,"CPC"
"337",35119,"CPC"
"338",35118,"CPC"
"339",35120,"CPC"
"340",47014,"CPC"
"341",60001,"CPC"
